Machine,WorkflowNum,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,14754556884,0,1407518,1,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,19132169434,0,1509824,1,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,19100037384,0,1500139,1,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,19075314980,0,1487290,1,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,8330435694,804250,804250,0,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,25705994498,2437908,2437908,0,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,14754556884,1407518,1407518,0,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,19132169434,1509824,1509824,0,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,19100037384,1500139,1500139,0,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,Perfect,Realtime,19075314980,1487290,1487290,0,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,8330435694,0,20485,1,123347977,8330435694,123398857,52059,7798784,1,92
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,25705994498,0,59207,1,339123221,25705994498,339174103,169913,8028160,1,96.3
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,19132169434,0,36770,1,218937990,19132169434,218988881,102282,7962624,1,94.4
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,19075314980,0,36477,1,218610699,19075314980,218661591,101879,8007680,1,94.7
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,19100037384,0,36450,1,218598028,19100037384,218648920,102062,8081408,1,94.7
asok01,EAGER-0,eager,preseq,Lotaru-G,Realtime,14754556884,0,34671,1,204047823,14754556884,204098714,93920,7938048,1,93.9
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,8330435694,14219.6444727943,20485,0.305850892223856,123347977,8330435694,123398857,52059,7798784,1,92
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,25705994498,39094.371487656,59207,0.339700179241373,339123221,25705994498,339174103,169913,8028160,1,96.3
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,19132169434,25239.330673321,36770,0.313589048862632,218937990,19132169434,218988881,102282,7962624,1,94.4
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,19075314980,25201.6003288733,36477,0.309109841026585,218610699,19075314980,218661591,101879,8007680,1,94.7
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,19100037384,25200.1396067804,36450,0.308638145218645,218598028,19100037384,218648920,102062,8081408,1,94.7
asok01,EAGER-0,eager,preseq,OnlineP,Realtime,14754556884,23522.7813951717,34671,0.32154303610592,204047823,14754556884,204098714,93920,7938048,1,93.9
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,8330435694,14219.6444727943,20485,0.305850892223856,123347977,8330435694,123398857,52059,7798784,1,92
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,25705994498,39094.371487656,59207,0.339700179241373,339123221,25705994498,339174103,169913,8028160,1,96.3
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,19132169434,25239.330673321,36770,0.313589048862632,218937990,19132169434,218988881,102282,7962624,1,94.4
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,19075314980,25201.6003288733,36477,0.309109841026585,218610699,19075314980,218661591,101879,8007680,1,94.7
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,19100037384,25200.1396067804,36450,0.308638145218645,218598028,19100037384,218648920,102062,8081408,1,94.7
